,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
3002,jwzauke,2792,2210,271,205,6583517,1115,21,476,151
3003,Bxoken,8328,7622,1023,855,23507080,2958,69,1878,568
3004,vThiiaGoX-,14042,11940,1667,1202,35010562,5781,127,2869,900
3005,Moskapitao,30462,22746,3797,2849,97722162,9151,428,6646,2346
3006,Salvi_J2,35287,16080,3502,1127,71120159,17449,373,4629,1323
3007,Bowl_patrol88,8866,7194,1261,842,25375442,3383,87,2103,570
3008,GG_booy_lol,19276,14337,2125,1684,46586786,6947,141,3809,1173
3009,FreeTicketToHeII,4819,3838,577,384,13030486,1885,45,961,303
3010,IGlyn,10959,8266,1235,828,22246539,4059,423,2063,598
3011,CARRYME2004,24137,20030,2223,1900,62874096,10602,362,4123,1309
3012,PxndaVII-,28176,25350,3112,2839,77707093,11031,864,5951,1876
3013,GivOoZz,39139,30724,3892,2944,90888243,17837,634,6836,2182
3014,SixStreakz,59684,50340,6385,5385,131742969,25586,975,11770,3597
3015,yLoRenzZGodly-_-,3989,2755,401,304,9740993,1388,44,705,218
3016,abrzx,9963,8184,1056,821,26285699,4242,149,1877,621
3017,Pachaa077,3477,2850,505,299,9653552,1036,84,804,253
3018,YT_DynastyBlaZ-,18002,13670,2638,1584,42609430,7538,372,4222,1063
3019,qucknet,24027,18587,2668,2346,56935824,9278,486,5014,1496
3020,Kyzume,37846,32858,4451,3479,87826516,16277,918,7930,2378
3021,IM_LUCiFER_M-,11945,12317,1360,1240,30826638,3970,348,2600,823
3022,Sk_Aarka,37370,31140,4294,3660,88079085,14855,484,7954,2229
3023,Zedfar_,14971,16349,2412,2027,41935430,5519,833,4439,1161
3024,BotCisco,40223,29724,4255,3102,102785179,13868,690,7357,2348
3025,iiZaKu_,7662,5838,915,601,19265652,2929,46,1516,485
3026,UnderatedZay_,29885,29978,3508,2820,79060146,11837,296,6328,2093
3027,LulIxby,16021,14753,1713,1555,44332732,6171,215,3268,1040
3028,SaltySxC,29681,26804,3377,2776,72072883,11297,281,6153,1920
3029,tkdbros757-,2545,2130,269,188,6133933,899,25,457,147
3030,SCUZZERS_R_US,17741,18181,1968,1543,46518951,6355,264,3511,1167
3031,M0b1n-_M_-,15565,14641,1993,1380,41433233,5972,364,3373,1020
3032,Mateusm_19,61732,45736,7124,4173,152373128,22225,620,11297,3789
3033,CloudySkiees-,15302,15137,1972,1679,39808979,5780,1015,3651,1006
3034,XxRamin_MafiaxX,7498,5028,739,604,16913461,2482,87,1343,399
3035,mohammadg236,6266,5646,725,512,16947509,2337,47,1237,396
3036,Spizcy_,38935,31304,4259,3486,94481449,14921,977,7745,2443
3037,FreeZyThaGxd,23099,20484,2803,2214,72899506,8220,727,5017,1586
3038,llFunkll,33934,27684,4160,3419,85144516,9671,1152,7579,2055
3039,i-SamuraiWarrior,21785,16552,2583,1915,54506105,8859,155,4498,1383
3040,Mx_xXHECTORXx,1167,926,106,89,2448705,452,59,195,62
3041,iJuxnse_-,30944,24933,3384,2499,76589695,9602,914,5883,1821
3042,Tayshyn,8711,6152,904,631,18368413,3404,158,1535,436
3043,MrLemos_,21303,18884,2733,2402,59008075,8888,664,5135,1437
3044,INotreDameWasLit,19129,14765,1882,1599,53385374,6363,300,3481,1136
3045,SaRoHZz,15859,13613,2116,1696,44415883,6582,218,3812,1066
3046,MaxKRD,27526,23201,3270,2313,80394924,10479,448,5583,1824
3047,Walesoner,23548,25071,2702,2386,63185554,8448,522,5088,1555
3048,AnNVbIlls,27742,26416,4082,3373,71372672,11083,590,7455,1928
3049,Rermu,17669,16782,2385,1968,46838287,7449,548,4353,1267
3050,JaIeeI_,6673,4059,893,419,17130104,2753,104,1312,388
3051,Spekal_sCytHer,1094,829,138,76,2398441,479,14,214,61
3052,SAxGodly,7429,5678,808,607,17433580,2841,125,1415,405
3053,GreyDer_Zer,8914,8065,1045,834,25422768,3610,93,1879,618
3054,LxstKinG-VPR,30522,21231,4279,2369,70480488,12554,779,6648,1744
3055,Log1c-PaiN,47994,33200,7643,3758,106588778,16570,677,11401,2863
3056,Argxnic,17874,16249,2454,1974,47755641,6126,734,4428,1206
3057,CullMeDxddy,26623,26184,3303,2902,85230122,9159,615,6205,2158
3058,LTav4res10,9483,8226,1208,682,26122287,3430,40,1890,595
3059,chacallito19,20554,18686,2481,2114,49713670,8589,553,4595,1287
3060,NDeck-,17874,16249,2454,1974,47755641,6126,734,4428,1206
3061,lSkYn0Z,30522,21231,4279,2369,70480488,12554,779,6648,1744
3062,MODYBAD,23343,17061,2388,1636,60096583,7551,300,4024,1273
3063,lMoollyy,2196,1870,245,190,5558218,830,24,435,134
3064,HAVAIl,36266,26671,3972,2359,89350741,14836,308,6331,2152
3065,nayIine,21469,14462,2266,1474,58145661,7316,226,3740,1239
3066,lRaiiNZz--,16595,12851,1624,1334,37695229,7626,138,2958,919
3067,Vybry_,1407,783,182,61,3415237,493,9,243,71
3068,Straapzj,3559,3011,376,273,8835725,1483,75,649,204
3069,ExsyShotz,47994,33200,7643,3758,106588778,16570,677,11401,2863
3070,ChiTwnAj,26623,26184,3303,2902,85230122,9159,615,6205,2158
3071,iMDs-_LasTNoiZe,414,240,47,14,1030218,180,6,61,18
3072,SalimTyson-,36770,27151,3576,2702,91084060,14894,874,6278,2051
3073,TheReal__X,28505,18147,3847,1750,60533740,11589,463,5597,1379
3074,iFreezZy_x,6994,4502,857,628,16917322,2320,107,1485,455
3075,IIllllllIII--QX,19499,18023,2311,1762,51007474,7383,375,4073,1340
3076,Dxrk-_-EU,14945,12387,1708,1330,40469212,5576,443,3038,916
